Id,text
0,Tech Talk Guru Craig Peterson breaks down more barriers to a bright future of next generation nuclear power. https://t.co/nEg4rVBgHJ
1,RT @JayinKyiv: The exact narrative you'd expect Russia to put out if they were about to blow up a Ukrainian nuclear power plant to then bla????????â¬???????
2,"Remember when Biden and the demonrats shut down pipelines, drilling, exploration, coal ,gas and nuclear power plants ? They're setting up the infrastructure for failure and planning to blame conservatives when they shut it ????"
3,"#Constitution Can anyone explain how it's constitutional for the president to have a nuclear button?

The power supposedly resides with Congress. If they want to move it to the executive branch they need to have specific rules where the president is simply a last check."
4,@DaveyBiden2024 @Socialistdemmo Use the open land to make thousands of nuclear power plants
5,"???????? Rosatom offers ???????? India small-sized nuclear power plant (SNPP) project   

????Russia????????â¬???????s nuclear energy corporation plans to submit a preliminary design for such a plant by the end of this year, the company said.

Subscribe to @sputniknewsindia https://t.co/sqnMtYOfJs"
6,"RT @MonicaM444: Employees of the ZNPP have been abused long enough. Some that were ex military of ????????, or that showed a Pro-Ukrainian stance????????â¬???????"
7,RT @JayinKyiv: Russian state media just put out the exact narrative you'd expect them to put out if they were going to blow up a nuclear po????????â¬???????
8,"Just learned about nuclear Stirling generators this week.

And I must say, the prospect of unlimited power has never been more cool. https://t.co/eqvcrOqazi https://t.co/2xSTaPGtvW"
9,"RT @Prolotario1: Cyber Attack 

Power Grid 

Mass Shootings

Virus

Nuclear Attack 

Border Invasion 

UFO Invasion 

I told you all they w????????â¬???????"
10,"@MriyaReport Hun Sen is threatening Asian countries that Cambodia is also producing nuclear energy, he has announced three times. https://t.co/ZE0qe86Z8T"
11,"@tonyannett You might want to double-check what you cite. Austria  gets 65% of their power from hydro (https://t.co/C2r6WaSbsI). Sweden as I said in our dialogue gets 74% from hydro/nuclear. The majority of Portugal's energy relies on coal, gas, and hydro. There's a transition, not rapid."
12,@RachelReevesMP @rodrikdani @GeorgeDibb Low density renewable energy is sufficient for domestic electricity but we would require a fleet of nuclear power stations if we want to sufficiently power commercial electricity.
13,"@mikoske This is why we need industrial scale energy storage solutions.
Lowering nuclear output is very sub-optimal way of solving the energy flood."
14,"Jared Huffman (D-CA), who is going to vote against the debt ceiling bill because of one pipeline in West Virginia, in 2014 offered an amendment to reduce funding for nuclear energy research. 
https://t.co/S2VVa2zmPn https://t.co/TLMeo5lxmf https://t.co/GUBtJnpPYC"
15,RT @MikeHudema: France is requiring all 80 stall+ parking lots ????????â¬??????? both existing and new ????????â¬??????? to be covered by solar panels. That would add 10 n????????â¬???????
16,@Cornish_Rebel @ox_anna29 Plus they never factor in decommissioning in the costing let future generations worry about that ? We are best placed in EU for renewable energy the severn estuary tidal lagoon project for example Tidal systems could be huge with similar level of investment to Nuclear
17,"RT @Marian_L_Tupy: Finnish electricity price drops BELOW ZERO after the latest nuclear reactor is switched on.

That is what the world coul????????â¬???????"
18,@2closetocall That????????â¬???????s at least one  full scale nuclear plant or multiple modular plants that could have been built to improve our energy grid. Volpe is doing amazing job chasing his lobby checks with bs math. Best part this plant was going to be built ex subsidies until VW.
19,"RT @johncarlbaker: ""It is shocking that the Energy Department, without even notifying the public, would undermine a decades-old, bipartisan????????â¬???????"
20,"@MQMFLORIDA1   @azizabadi 
The Baloch speakers vehemently denounced Pakistan's nuclear testing in Balochistan and said that the Changhai region of Balochistan is currently experiencing the impacts of radiation as a result.#NukeAftermathInBalochistan #BalochistanIsNotALaboratory https://t.co/eOea4KggQx"
21,"@gaborgurbacs @stats_feed It's regulated to death
In the UK.
Two possible sites have been rejected because the background natural radiation is twice the allowable levels of normal nuclear power generation.
In the meantime Scotland is paying the world's highest electricity prices
100% renewable."
22,"When someone says you get more radiation from jet travel than from a nuclear power plant, they are telling such a half truth that they are essentially deceiving you. 

The radioactive concern with nuclear power comes from radioactive particles released into the environment at????????â¬??????? https://t.co/oMLPrqX8lX"
23,"@RebeccaAVelo A nuclear bomb vs. Marxist govt:
Both ensure an equitable world with shared rights and a common standard of living.

One has radiation, the other doesn't.
Otherwise they're essentially indistinguishable."
24,"When someone says you get more radiation from jet travel than from a nuclear power plant, they are telling such a half truth that they are essentially deceiving you. 

The radioactive concern with nuclear power comes from radioactive particles released into the environment at????????â¬??????? https://t.co/OONUrtjJGm"
25,"Portable Nuclear Radiation Detector Geiger Counter Marble Personal Radiation Dosimeter Radioactive Ionization Monitor VAR5Q9E

https://t.co/d8Dw03Xq2i https://t.co/gQy4xBGVoJ"
26,"Geiger Counter Nuclear Radiation Detector Portable Personal Dosimeter Marble Tester X-ray ??-ray ??-ray Detecting XR1 BR-9B ZCEMJTG

https://t.co/sgp8zuTOqB https://t.co/dBxL2wxzyU"
27,"@MerrillLegacy @MatthewWielicki @dorfman_p What actually happens is that living in Denver or flying exposes a person to far more radiation than does a nuclear power plant. Or, maybe driving on roads where water from fracking is dumped. https://t.co/WcGDt40NE7
https://t.co/T4FQikhb7y"
28,@VenDetta_9800 @onlydjole your country will survive the nuclear winter radiation and you with it stupid man...the end of the world
29,"@ADogInASuit @ConspiracyBull1 @WarClandestine Celebrities and major corporations and a major media talking point is that one shouldnt live inside a nuclear reactor exposed to constant radiation

so do it"
30,Joshua Luoma was awarded the DOE National Nuclear Security Administration Laboratory Residency Graduate Fellowship for his proposal on structured laser targets for advanced radiation sources.   https://t.co/tZNZfYcXho
31,"Today I spoke at the pre-convocation for our @uoftmedicine Medical Radiation Sciences graduates. The 73 grads will work in one of three areas: radiation technology, nuclear medicine, and radiation therapy. This is Shifana Constantine, a student awardee. Congrats to all! https://t.co/QRADlKbYAY"
32,"""The French detonated 17 nuclear bombs in Algeria beginning in 1960. The impact of that radiation continues today; radioactive dust still emanates from the Sahara, from those nuclear bombs, whose effects are absolutely indelible.""

https://t.co/2iZNmBxw90"
33,my cat looks like she's been exposed to at least 300 hours of nuclear radiation and then maybe rat poison
34,"RT @WINS_org: Almost every industry today uses radiation in some way.  To benefit from these peaceful, productive uses, radioactive sources????????â¬???????"
35,"RT @JunkScience: If you want to see just how badly you've been lied to about radiation and cancer risk, invest 10 hours to watch this mind-????????â¬???????"
36,"RT @Cecalli_Helper: ""The nuclear radiation exposed the people of #Balochistan to several chronic diseases.  Many children were born with #d????????â¬???????"
37,"My dream bf
- 250ft+
- doesn't need income
- Unknown Age
- loves Japan and the ocean
- a bit destructive
- rlly scary &amp; has an ambiguous moral system
- evolved consume nuclear radiation (self made)
- atomic breath
- loves fighting other Kaiju &amp; swimming 
- loves me a LOT https://t.co/z9bZiG6Wme https://t.co/IsfiL84r4z"
38,@billybreathes @carlosahued @ylecun ????????â¬???????The only reason we won????????â¬???????t let everyone build nuclear reactors is because NukeCorp wants all the profits.????????â¬??????? - some guy who died from radiation
39,"Oliver Stone????????â¬???????s ????????â¬???????Nuclear Now????????â¬??????? documents the safety of neckwear energy. Did you know that no one died in the Fukushima melt down, nor the Three mile island melt down? Minimum radiation too."
40,"RT @SergiyKyslytsya: Moscow is preparing a large-scale provocation to create a center of radiation danger, according to @DI_Ukraine  In the????????â¬???????"
41,Nuclear radiation in the deep blue sea https://t.co/syCo75f9Ac
42,"@Sarmad2200 Yep, in 1986, one of the reactors at the nuclear power plant at Chernobyl, Ukraine, went out of control during a test at low-power, leading to an explosion and fire that demolished the reactor building and released large amounts of radiation. Watch Chernobyl pls, gorg show!!"
43,@davidicke When comes the mRNA vaccine against nuclear radiation? And another one against global warming as well. Maybe they will find 2-3 fool's who are willing to take it ????
44,@HughBramlett Please educate yourself on nuclear winter it has nothing to do with radiation
45,"@MasteroftheTDS didn't they try this with the last airbender movie? THAT was a train wreck

this is more like a train wreck that crashes into a nuclear plant that results in a radiation explosion that results in millions of casualties"
46,"RT @TravisVoltaire: ???? ???? ???? Discover Fallout Shelter Options in ""Nuclear War Survival Skills"" by Cresson H. Kearny. From expedient to undergr????????â¬???????"
47,"@BenjaminLeder @onlydjole Your ignorance is outstanding, sit there and joke whilst your leaders hide in bunkers and leave you as a sitting duck come the radiation from any spark which leads to a nuclear strike..."
48,"RT @cqcqcqdx: The Conelrad system, also known as the Control of Electromagnetic Radiation, was a national emergency system used in the Unit????????â¬???????"
49,RT @minigolfgarfiel: so why the hell is this abandoned mall related to some kind of radiation/nuclear situation and why is Showfall Media f????????â¬???????
50,"""The nuclear radiation exposed the people of #Balochistan to several chronic diseases.  Many children were born with #disabilities, and #diseases such as #cancer and skin disorders""   https://t.co/3tgwl1lstG #health #med #humanrights #nonukes"
51,"@maddinhh1983 @BosMargit @AndreasThimm @Perowinger94 You are aware that radiation levels around a coal/lignite plant are higher than around a nuclear plant, because of radioactive trace elements (like radium) that are present in the coal and just go up the smoke stack after the coal has been burned?"
52,"RT @SusannaLeeRad: Now applications for #CTMW.  Scientists in radiology, radiation oncology, and nuclear medicine seeking guidance on study????????â¬???????"
53,"RT @aerospacecap: 3 ??Monitor?? satellites are integrated and are ready for the launch! 

Satellites of the Research Institute of Nuclear Phy????????â¬???????"
54,"3 ??Monitor?? satellites are integrated and are ready for the launch! 

Satellites of the Research Institute of Nuclear Physics of Moscow State University will be launched to test the joint work of a group of nanosatellites to observe cosmic flares in X-ray and gamma radiation. https://t.co/zR7HJFV4SI"
55,"RT @dan_grey: Japan, like France, has no fossil fuels. It too turned to nuclear, but unlike France, one of their plants exploded. ""Luckily""????????â¬???????"
56,"Japan, like France, has no fossil fuels. It too turned to nuclear, but unlike France, one of their plants exploded. ""Luckily"" the radiation went into the Pacific.

Nuclear in Japan is being rehabilitated increasingly quickly, leading to lower LNG demand, pushing gas prices down. https://t.co/QNUkPVSbGw"
57,Im hoping he misspoke but Oliver stone who made a nuclear energy documentary just said MRI is one of the most severe radiation you can get on @joerogan
58,"GC01 Nuclear Radiation Detector Geiger Counter Professional Professional X-rays ??-ray ??-ray Detecting Tool Radioactive Tester BFJZ2LC

https://t.co/rCv19yEJJv https://t.co/hZdwF0F0eh"
59,"Big Deal Geiger Counter Kit Module Nuclear Radiation Detector With Display Radiation Dosimeter Electromagnetic Radiation Detecto PGN14T1

https://t.co/TF4waTl8BX https://t.co/XHYeBjnvbc"
60,RT @FreeBaluchMovt: FBM is organizing a protest at Dam Square in the Netherlands on 28th May at 3 PM to raise awareness about the Pakistani????????â¬???????
61,@Call_Her_BJ @NavyVeteranWife No. I don????????â¬???????t need to hear a woman talk about the power of angels to dispel nuclear radiation. She isn????????â¬???????t grounded in physical consensual reality. Fox platforms her because she makes democrats look loony and detached from reality.
62,RT @minigolfgarfiel: putting this out there before the genloss finale tomorrow: There????????â¬???????s a sign stating they are in a nuclear fallout shelte????????â¬???????
63,"International  Atomic Energy Agency ( IAEA ) (Austria)

Nuclear regulatory Commission ( NRC) (USA)

Radiation Protection Department ( RPD) (Kuwait)"
64,@cirnosad Alot of Americans no longer think rationally and honestly believe nuclear blasts and radiation won????????â¬???????t hurt them.
65,"RT @dorfman_p: Nuclear on an earthquake zone ...

Accidents are, by definition, accidental.

Radiation insult causes host of long-term heal????????â¬???????"
66,"@GinandJetfuel @JulianMalins @Spriter99880 Once NATO setd up base and signs in Ukraine, Russian threat perception is multifold. As for nuclear...I read on Twitter about radiation from some stocks sent from a friendly European country. ISS that true?"
67,RT @SussyMyon: Why does this bird look like it????????â¬???????s about to emit nuclear radiation and throw suns into my face
68,"RT @Marieaaow: @yasminalombaert ????????????â¬???????The bunker should also provide protection against radiation.????????â¬???????
Those filters can????????â¬???????t filter radiation .
So h????????â¬???????"
69,"When someone says you get more radiation from jet travel than from a nuclear power plant, they are telling such a half truth that they are essentially deceiving you. 

The radioactive concern with nuclear power comes from radioactive particles released into the environment at????????â¬??????? https://t.co/kEXzprmdlZ"
70,"RT @LindaL83490762: @alfienoakes63 I think the ""nuclear war is survivable"" meme must have originated in America where war is far away. I ca????????â¬???????"
71,"@alfienoakes63 I think the ""nuclear war is survivable"" meme must have originated in America where war is far away. I can't imagine limited nuclear war between 2 nuclear powers. If you launch 1, you might as well launch the lot &amp; I'd rather go straight away than face radiation &amp; nuclear winter."
72,FSB reported on prevented sabotage at two nuclear power facilities - the Leningrad and Kalinin nuclear power plants. The saboteurs planned to undermine power transmission towers. Both are Ukrainian citizens ( 2 other accomplices were also detained). https://t.co/uhlBtUlV1I
73,"RT @harryhorrorshow: TONIGHT 8PM EST/ 5PM PST

It????????â¬???????s one of the worst nuclear disasters in history????????â¬???????and a name that sits in infamy????????â¬???????

CHERNOBY????????â¬???????"
74,"This is a potential humanitarian and environmental crisis on a massive scale - and it will be worse if this impacts the nuclear plants that relies on the reservoir water for cooling.
#Ukraine??? #Russia #War https://t.co/kH5W7rroW3"
75,@Cognition1986 @bryan_trades @historyinmemes Japan has a lot of nuclear plants though. Also Japan is not densely populated. Only Tokyo and other cities are.
76,"RT @FromSteveHowell: Zelensky had better watch his back...

The US is now pointing its finger at Ukraine for the blowing up the Nord Stream????????â¬???????"
77,@Jerusalem_Post FSB reported on prevented sabotage at two nuclear power facilities - the Leningrad and Kalinin nuclear power plants. The saboteurs planned to undermine power transmission towers. Both are Ukrainian citizens ( 2 other accomplices were also detained). https://t.co/DcjC7mC0BB
78,"@spy_hunter_ 'It's safe', let's not play word games. The point is not the frequency of nuclear accidents, it is the unhinged scale of disaster (potentially continent-wide) when things do go wrong, which escalates in probability with every proliferation of plants."
79,"RT @Kanthan2030: After losing Bakhmut, Ukraine????????â¬???????s military has no ????????â¬???????spring counteroffensive????????â¬??????? that the Western governments promised.

Thus, th????????â¬???????"
80,RT @GicAriana: Is the West waiting for Russia to blow up nuclear power plants across Ukraine simultaneously before we give Ukraine the gree????????â¬???????
81,"@AubreyGilleran @thefactualprep 1) We, mostly Democrats at best reluctant to take advantage of many of our potential energy resources, including nuclear.

2) It????????â¬???????s a global market and energy prices heavily dependent on what happens in the Gulf, even if  we become completely energy independent."
82,"""And way back in March of 2022, I looked at the various ways Russia could use its tactical nuclear weapons in an attempt to win a decisive advantage in Ukraine."" https://t.co/d0Ytp7aEJ0"
83,"@BrianJo78940026 @CCRFInc Collecting Craft to reverse engineer. 
Making Alliances with Off and In (under) World Intelligences trading Humans for DNA manipulation and getting advanced technology for a Military Advantage.  
Securing the Fear of our Atomic and Nuclear Weapons against formidable Entities."
84,"Please????????â¬???????everyone in this world know that the nuclear wastewater in Japan cannot be discharged, we know the consequences of doing this. If they take advantage of legal loopholes, then change it!!!!! I know this sounds silly, but we cannot just watch this happen!!!!"
85,"Traditional submarines that run on diesel fuel don????????â¬???????t have a long time to spend under water. They can stay submerged for several days at most. But nuclear submarines have a distinct advantage in this department. #submarine #nuclear #tuesdaymotivations

https://t.co/LfYVQuhrCV"
86,"RT @djuric_zlatko: The dam exploded...

By whom? 
The Ukrainian side.

Why? 
Because they have an advantage in this situation.

What is it?????????â¬???????"
87,@Penyrheolgerrig @visegrad24 ...the obvious advantage is to ukraine of this attack on the dam...why would russia put itself in danger from flooding and possible nuclear meltdown?...why?...what do you base your presumption that russia 'did it' on?...i and the world know russia didn't do this or nordstream...
88,"So if you care about climate, the Green Party is ironically the last party you should vote for. Even Tories recognize the need for nuclear. In the UK at least. Did you know that the Finnish Greens have dropped their opposition to nuclear? Be more like the Finnish Greens, Caroline"
89,"@TheGreenParty If you are serious about climate action, join the #nuclear bandwagon 

https://t.co/aH4Xxiu9uN"
90,@BDliveSA There????????â¬???????s difference between ????????â¬???????climate change activists????????â¬??????? and ????????â¬???????anti-nuclear lobbyists????????â¬???????.
91,"RT @quakes99: China Nuclear Chairman Sees Sevenfold Surge in Capacity????????????????7????????????????????? ""#China is leading a #Nuclear Renaissance???? that has seen????????â¬???????"
92,@ThuleanGamer We should make nuclear winter to help with climate change
93,"Well said @carla_denyer ""#renewables is simply the way forward. Nuclear is not going to help us out in this climate emergency...the trouble with nuclear energy is that it's incredibly slow &amp; incredibly expensive....""
#SayNo2SizewellC https://t.co/5mDt0YkqFU"
94,"@JohnMcC61971366 @SabbySabs2 Climate change is equally as important as nuclear war. They are on par.

Again, that was just your one opinion on the Greens."
95,"RT @LouisvilleGun: You don't actually care about the climate with your ""green energy"" if you aren't promoting nuclear power. https://t.co/l????????â¬???????"
96,"@ScottAdamsSays @whitewalker420 His response to nuclear energy is terrible. The same problem with climate extremism is the same problem with the vaccine. ONE DICTATED SOLUTION is not the answer. We need ""all of the above"" solutions."
97,Hey @AlboMP: thanks for committing to support climate-vulnerable countries. Will you put those words into action at the June Paris Summit? Australia's fair share of the $100bn climate pledge is equal to just one nuclear submarine. Your action is needed to #PowerOurPlanet!
98,"@regisg @45BillionCrypto @StakeWithPride On a long time horizon yes, climate change will affect significantly water availability. This is why we need to innovate fast. Cutting oil before we????????â¬???????re ready will ensure we never get there.

I????????â¬???????d love to see a net creation of new nuclear plants, not empty promises."
99,"@TonyClimate True, RFK jr. is a good man, IMO, but he is anti-nuclear, believes that wind and solar will provide all the energy we need, and that climate change is a major crisis."
100,"Climate change? Time to get serious about nuclear, thorium, and solar, and phase out CO2 emissions. Arsons? Public execution (sorry)"
101,"RT @dorfman_p: Nuclear power????????â¬???????s baseload concept ????????â¬???????a load of cobblers????????â¬???????. 

#nuclear #nuclearenergy #ClimateScam #climate 
https://t.co/Vezqbhl????????â¬???????"
102,"RT @dorfman_p: Nuclear: 'lying is the new black.'

#nuclear #climate #ClimateScam  https://t.co/6cGuh9lItM via @BeyondNukesInt"
103,"@lesiavasylenko While Russia committed war crimes, I'm not sure destroying a dam will lead to rising temperatures and climate change itself, unless the Zaporizhzhia Nuclear Plant is impacted"
104,"@GretaThunberg Hey, how do you think, the dam disruption in Ukraine caused by Russia today, will it affect climate? Russia left big nuclear power plant  without cooling.
#RussiaIsATerroristState 

https://t.co/ER6KcTXQCi"
105,"RT @dorfman_p: UK Govt says renewables ????????â¬???????cannot ensure security of supply????????â¬??????? ????????â¬??????? they're wrong ! 

#Renewables #solar #windpower #energy #nuclea????????â¬???????"
106,"Greens are weird, aren't they?

In the battle against fossil fuel interests and climate denialism, their chosen battle is - and has been for decades - against nuclear.

Germany - no nuclear, but really high emissions.

France - loads of nuclear, and much lower emissions.

????????????â¬?????????????"
107,"@nickhedley Nick the renewable ambassador, UN should hire Nick for this course is very passionate and he hates coal and nuclear."
108,"Might be time to consider moving towards Renewable????????â¬???????s.????????????

Wind Solar Water WSW and Storage which doesn????????â¬???????t create 

?????? Nuclear Waste which is the ultimate pollution.?????? https://t.co/evYMiM7XLe"
109,"@itslukechen @historyinmemes They take quite a bit of oil/gas, they use wind which is a renewable energy but they aren????????â¬???????t as good as something like hydroelectricity or Nuclear energy"
